( shannon_00001 "Notable people with the surname include." )
( shannon_00002 "The bays project at an angle." )
( shannon_00003 "This was the peak of his career." )
( shannon_00004 "From this marriage, four children were born." )
( shannon_00005 "two sons and two daughters." )
( shannon_00006 "This was not to happen." )
( shannon_00007 "Their names are unknown to us." )
( shannon_00008 "He also negotiated a French alliance through his marriage." )
( shannon_00009 "However, the king was physically and mentally weak." )
( shannon_00010 "This page lists chronologically the first achievements in cinema." )
( shannon_00011 "The list attempts to address some of these events." )
( shannon_00012 "It is one of the oldest grounds in Singapore." )
( shannon_00013 "The following sports are all facilitated there." )
( shannon_00014 "He and his wife, Molly, have one daughter." )
( shannon_00015 "Jonas' personality is of a hard taskmaster." )
( shannon_00016 "Brown was a relatively new member of The Unit." )
( shannon_00017 "His wife, Kim, convinced him to join the Agency." )
( shannon_00018 "He also has an altercation with his wife." )
( shannon_00019 "Instead wanting to continue serving with his friend Jonas." )
( shannon_00020 "As a hobby Grey writes poetry." )
( shannon_00021 "Williams' death caused controversy with fans." )
( shannon_00022 "This discrepancy has not been explained." )
( shannon_00023 "Instead he accepted promotion to become a Brigadier General." )
( shannon_00024 "The college is structured into five departments." )
( shannon_00025 "machetes, gunpowder, powdered milk, sugar, whiskey." )
( shannon_00026 "Chastity is not a cultural value." )
( shannon_00027 "It is part of a joint parish with." )
( shannon_00028 "Phoenix garnered critical acclaim by music critics." )
( shannon_00029 "That, in the grandest sense, is unity." )
( shannon_00030 "The model has two basic tenets." )
( shannon_00031 "educational freedom and democratic governance." )
( shannon_00032 "He became a tanner and currier." )
( shannon_00033 "Number of games started as captain." )
( shannon_00034 "It is found in Botswana and South Africa." )
( shannon_00035 "The Walton family performed accompaniment on stringed instruments." )
( shannon_00036 "She was also the sister of singer Christine Barnett." )
( shannon_00037 "Barnett was born in Wellington, New Zealand." )
( shannon_00038 "During that period she released five singles." )
( shannon_00039 "At the last moment Barnett had to cancel." )
( shannon_00040 "Max Merritt suggested that Dinah Lee should replace her." )
( shannon_00041 "In later years, she became reclusive." )
( shannon_00042 "He said she was feeling a bit down." )
( shannon_00043 "She was buried without a funeral." )
( shannon_00044 "It established or kept the following holidays." )
( shannon_00045 "The contestant with the most votes, was the winner." )
( shannon_00046 "The illustrations are the work of Will Hollingsworth." )
( shannon_00047 "He played as a defender." )
( shannon_00048 "This led to the launch of World Culture Open." )
( shannon_00049 "Titles published by various British publishers include." )
( shannon_00050 "Titles published by various American publishers include." )
( shannon_00051 "Numerous private homes were also built during this era." )
( shannon_00052 "The city of Liverpool effectively has two Mayors." )
( shannon_00053 "It regularly plays host to Catholic masses." )
( shannon_00054 "Liverpool is served by two separate rail networks." )
( shannon_00055 "The network is predominantly electric." )
( shannon_00056 "It is the only ecumenical university in Europe." )
( shannon_00057 "Boxing is massively popular in Liverpool." )
